,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tên dự án:,Delivery Management System,Số test case:,716,,,,,,,,,,,
484,Cus_XoaKH_TC_26,Customer Management,Cus_XoaKH,Xóa khách hàng,Kiểm tra undo xóa,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra undo xóa,Test Data TBD,Expected Result TBD,,,,Medium
485,Cus_XoaKH_TC_27,Customer Management,Cus_XoaKH,Xóa khách hàng,Xóa và refresh trang,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Xóa và refresh trang,Test Data TBD,Expected Result TBD,,,,Medium
486,Cus_XoaKH_TC_28,Customer Management,Cus_XoaKH,Xóa khách hàng,Kiểm tra email thông báo,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra email thông báo,Test Data TBD,Expected Result TBD,,,,Medium
487,Cus_XoaKH_TC_29,Customer Management,Cus_XoaKH,Xóa khách hàng,Xóa khách trong filter,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Xóa khách trong filter,Test Data TBD,Expected Result TBD,,,,Medium
488,Cus_XoaKH_TC_30,Customer Management,Cus_XoaKH,Xóa khách hàng,Kiểm tra CSRF token,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra CSRF token,Test Data TBD,Expected Result TBD,,,,Medium
489,Cus_SuaKH_TC_01,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Cập nhật thông tin thành công,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Cập nhật thông tin thành công,Test Data TBD,Expected Result TBD,,,,Medium
490,Cus_SuaKH_TC_02,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Cập nhật tên khách hàng,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Cập nhật tên khách hàng,Test Data TBD,Expected Result TBD,,,,Medium
491,Cus_SuaKH_TC_03,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Cập nhật email khách hàng,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Cập nhật email khách hàng,Test Data TBD,Expected Result TBD,,,,Medium
492,Cus_SuaKH_TC_04,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Cập nhật số điện thoại,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Cập nhật số điện thoại,Test Data TBD,Expected Result TBD,,,,Medium
493,Cus_SuaKH_TC_05,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Cập nhật địa chỉ,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Cập nhật địa chỉ,Test Data TBD,Expected Result TBD,,,,Medium
494,Cus_SuaKH_TC_06,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra validate Email mới,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra validate Email mới,Test Data TBD,Expected Result TBD,,,,Medium
495,Cus_SuaKH_TC_07,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra Email trùng khách khác,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra Email trùng khách khác,Test Data TBD,Expected Result TBD,,,,Medium
496,Cus_SuaKH_TC_08,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra Phone trùng khách khác,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra Phone trùng khách khác,Test Data TBD,Expected Result TBD,,,,Medium
497,Cus_SuaKH_TC_09,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra để trống tên,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra để trống tên,Test Data TBD,Expected Result TBD,,,,Medium
498,Cus_SuaKH_TC_10,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra để trống email,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra để trống email,Test Data TBD,Expected Result TBD,,,,Medium
499,Cus_SuaKH_TC_11,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra để trống số điện thoại,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra để trống số điện thoại,Test Data TBD,Expected Result TBD,,,,Medium
500,Cus_SuaKH_TC_12,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra format Email sai,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra format Email sai,Test Data TBD,Expected Result TBD,,,,Medium
501,Cus_SuaKH_TC_13,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra format Phone sai,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra format Phone sai,Test Data TBD,Expected Result TBD,,,,Medium
502,Cus_SuaKH_TC_14,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra chỉnh sửa address,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra chỉnh sửa address,Test Data TBD,Expected Result TBD,,,,Medium
503,Cus_SuaKH_TC_15,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra chỉnh sửa ghi chú,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra chỉnh sửa ghi chú,Test Data TBD,Expected Result TBD,,,,Medium
504,Cus_SuaKH_TC_16,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra SQL Injection,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra SQL Injection,Test Data TBD,Expected Result TBD,,,,Medium
505,Cus_SuaKH_TC_17,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra XSS protection,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra XSS protection,Test Data TBD,Expected Result TBD,,,,Medium
506,Cus_SuaKH_TC_18,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra thời gian phản hồi,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra thời gian phản hồi,Test Data TBD,Expected Result TBD,,,,Medium
507,Cus_SuaKH_TC_19,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra UI Responsive,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra UI Responsive,Test Data TBD,Expected Result TBD,,,,Medium
508,Cus_SuaKH_TC_20,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra thông báo lỗi,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra thông báo lỗi,Test Data TBD,Expected Result TBD,,,,Medium
509,Cus_SuaKH_TC_21,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra thông báo thành công,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra thông báo thành công,Test Data TBD,Expected Result TBD,,,,Medium
510,Cus_SuaKH_TC_22,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra nút Hủy,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra nút Hủy,Test Data TBD,Expected Result TBD,,,,Medium
511,Cus_SuaKH_TC_23,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra nút Xóa,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra nút Xóa,Test Data TBD,Expected Result TBD,,,,Medium
512,Cus_SuaKH_TC_24,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra Double-click protection,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra Double-click protection,Test Data TBD,Expected Result TBD,,,,Medium
513,Cus_SuaKH_TC_25,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra lịch sử thay đổi,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra lịch sử thay đổi,Test Data TBD,Expected Result TBD,,,,Medium
514,Cus_SuaKH_TC_26,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra undo changes,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra undo changes,Test Data TBD,Expected Result TBD,,,,Medium
515,Cus_SuaKH_TC_27,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Cập nhật khi Server down,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Cập nhật khi Server down,Test Data TBD,Expected Result TBD,,,,Medium
516,Cus_SuaKH_TC_28,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Cập nhật từ 2 tab cùng lúc,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Cập nhật từ 2 tab cùng lúc,Test Data TBD,Expected Result TBD,,,,Medium
517,Cus_SuaKH_TC_29,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra phân quyền Shipper,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra phân quyền Shipper,Test Data TBD,Expected Result TBD,,,,Medium
518,Cus_SuaKH_TC_30,Customer Management,Cus_SuaKH,Cập nhật tk khách hàng,Kiểm tra audit log,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra audit log,Test Data TBD,Expected Result TBD,,,,Medium
519,Cus_ChiTietKH_TC_01,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Xem chi tiết khách hàng thành công,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Xem chi tiết khách hàng thành công,Test Data TBD,Expected Result TBD,,,,Medium
520,Cus_ChiTietKH_TC_02,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra hiển thị tất cả thông tin,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra hiển thị tất cả thông tin,Test Data TBD,Expected Result TBD,,,,Medium
521,Cus_ChiTietKH_TC_03,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra lịch sử đơn hàng,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra lịch sử đơn hàng,Test Data TBD,Expected Result TBD,,,,Medium
522,Cus_ChiTietKH_TC_04,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra đơn hàng không tồn tại,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra đơn hàng không tồn tại,Test Data TBD,Expected Result TBD,,,,Medium
523,Cus_ChiTietKH_TC_05,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra hiển thị phàn nàn,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra hiển thị phàn nàn,Test Data TBD,Expected Result TBD,,,,Medium
524,Cus_ChiTietKH_TC_06,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra hiển thị đánh giá,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra hiển thị đánh giá,Test Data TBD,Expected Result TBD,,,,Medium
525,Cus_ChiTietKH_TC_07,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra nút Chỉnh sửa,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra nút Chỉnh sửa,Test Data TBD,Expected Result TBD,,,,Medium
526,Cus_ChiTietKH_TC_08,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra nút Xóa,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra nút Xóa,Test Data TBD,Expected Result TBD,,,,Medium
527,Cus_ChiTietKH_TC_09,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra nút Tạo đơn mới,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra nút Tạo đơn mới,Test Data TBD,Expected Result TBD,,,,Medium
528,Cus_ChiTietKH_TC_10,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra thời gian phản hồi,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra thời gian phản hồi,Test Data TBD,Expected Result TBD,,,,Medium
529,Cus_ChiTietKH_TC_11,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra giao diện Responsive,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra giao diện Responsive,Test Data TBD,Expected Result TBD,,,,Medium
530,Cus_ChiTietKH_TC_12,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra lịch sử giao dịch,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra lịch sử giao dịch,Test Data TBD,Expected Result TBD,,,,Medium
531,Cus_ChiTietKH_TC_13,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra hiển thị level VIP,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra hiển thị level VIP,Test Data TBD,Expected Result TBD,,,,Medium
532,Cus_ChiTietKH_TC_14,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra điểm tích lũy,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra điểm tích lũy,Test Data TBD,Expected Result TBD,,,,Medium
533,Cus_ChiTietKH_TC_15,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra thống kê mua hàng,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra thống kê mua hàng,Test Data TBD,Expected Result TBD,,,,Medium
534,Cus_ChiTietKH_TC_16,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra tài liệu đính kèm,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra tài liệu đính kèm,Test Data TBD,Expected Result TBD,,,,Medium
535,Cus_ChiTietKH_TC_17,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra tải dữ liệu export,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra tải dữ liệu export,Test Data TBD,Expected Result TBD,,,,Medium
536,Cus_ChiTietKH_TC_18,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra nút Quay lại,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra nút Quay lại,Test Data TBD,Expected Result TBD,,,,Medium
537,Cus_ChiTietKH_TC_19,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra timeline thay đổi,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra timeline thay đổi,Test Data TBD,Expected Result TBD,,,,Medium
538,Cus_ChiTietKH_TC_20,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra phân quyền truy cập,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra phân quyền truy cập,Test Data TBD,Expected Result TBD,,,,Medium
539,Cus_ChiTietKH_TC_21,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra ghi chú nội bộ,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra ghi chú nội bộ,Test Data TBD,Expected Result TBD,,,,Medium
540,Cus_ChiTietKH_TC_22,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra thêm tag,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra thêm tag,Test Data TBD,Expected Result TBD,,,,Medium
541,Cus_ChiTietKH_TC_23,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra cập nhật real-time,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra cập nhật real-time,Test Data TBD,Expected Result TBD,,,,Medium
542,Cus_ChiTietKH_TC_24,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra liên kết đơn hàng,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra liên kết đơn hàng,Test Data TBD,Expected Result TBD,,,,Medium
543,Cus_ChiTietKH_TC_25,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra liên hệ khách,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra liên hệ khách,Test Data TBD,Expected Result TBD,,,,Medium
544,Cus_ChiTietKH_TC_26,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra địa chỉ trên bản đồ,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra địa chỉ trên bản đồ,Test Data TBD,Expected Result TBD,,,,Medium
545,Cus_ChiTietKH_TC_27,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra lịch mua hàng theo tháng,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra lịch mua hàng theo tháng,Test Data TBD,Expected Result TBD,,,,Medium
546,Cus_ChiTietKH_TC_28,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra tổng tiền chi tiêu,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra tổng tiền chi tiêu,Test Data TBD,Expected Result TBD,,,,Medium
547,Cus_ChiTietKH_TC_29,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra trạng thái hoạt động,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra trạng thái hoạt động,Test Data TBD,Expected Result TBD,,,,Medium
548,Cus_ChiTietKH_TC_30,Customer Management,Cus_ChiTietKH,Xemchi tiết về khách hàng,Kiểm tra in chi tiết khách,User là Admin. JWT Token hợp lệ. Truy cập được trang quản lý khách hàng.,1,Kiểm tra in chi tiết khách,Test Data TBD,Expected Result TBD,,,,Medium
549,Noti_TBPhanCong_TC_01,Notification,Noti_TBPhanCong,Thông báo khi phân công,Nhận thông báo khi phân công đơn,User đã đăng nhập. Kết nối SignalR thành công.,1,Nhận thông báo khi phân công đơn,Test Data TBD,Expected Result TBD,,,,Medium
550,Noti_TBPhanCong_TC_02,Notification,Noti_TBPhanCong,Thông báo khi phân công,Kiểm tra nội dung thông báo,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra nội dung thông báo,Test Data TBD,Expected Result TBD,,,,Medium
551,Noti_TBPhanCong_TC_03,Notification,Noti_TBPhanCong,Thông báo khi phân công,Kiểm tra thời gian gửi thông báo,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra thời gian gửi thông báo,Test Data TBD,Expected Result TBD,,,,Medium
552,Noti_TBPhanCong_TC_04,Notification,Noti_TBPhanCong,Thông báo khi phân công,Kiểm tra hiển thị ĐH chi tiết,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra hiển thị ĐH chi tiết,Test Data TBD,Expected Result TBD,,,,Medium
553,Noti_TBPhanCong_TC_05,Notification,Noti_TBPhanCong,Thông báo khi phân công,Kiểm tra đánh dấu đã đọc,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra đánh dấu đã đọc,Test Data TBD,Expected Result TBD,,,,Medium
554,Noti_TBTaoDH_TC_01,Notification,Noti_TBTaoDH,Thông báo khi tạo đơn hàng,Nhận thông báo khi tạo order,User đã đăng nhập. Kết nối SignalR thành công.,1,Nhận thông báo khi tạo order,Test Data TBD,Expected Result TBD,,,,Medium
555,Noti_TBTaoDH_TC_02,Notification,Noti_TBTaoDH,Thông báo khi tạo đơn hàng,Kiểm tra nội dung thông báo,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra nội dung thông báo,Test Data TBD,Expected Result TBD,,,,Medium
556,Noti_TBTaoDH_TC_03,Notification,Noti_TBTaoDH,Thông báo khi tạo đơn hàng,Kiểm tra gửi cho shipper/admin,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra gửi cho shipper/admin,Test Data TBD,Expected Result TBD,,,,Medium
557,Noti_TBTaoDH_TC_04,Notification,Noti_TBTaoDH,Thông báo khi tạo đơn hàng,Kiểm tra gửi cho khách hàng,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra gửi cho khách hàng,Test Data TBD,Expected Result TBD,,,,Medium
558,Noti_TBTaoDH_TC_05,Notification,Noti_TBTaoDH,Thông báo khi tạo đơn hàng,Kiểm tra thời gian gửi,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra thời gian gửi,Test Data TBD,Expected Result TBD,,,,Medium
559,Noti_TBTaoDH_TC_06,Notification,Noti_TBTaoDH,Thông báo khi tạo đơn hàng,Kiểm tra template thông báo,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra template thông báo,Test Data TBD,Expected Result TBD,,,,Medium
560,Noti_TBTaoDH_TC_07,Notification,Noti_TBTaoDH,Thông báo khi tạo đơn hàng,Kiểm tra hiển thị ID đơn,User đã đăng nhập. Kết nối SignalR thành công.,1,Kiểm tra hiển thị ID đơn,Test Data TBD,Expected Result TBD,,,,Medium
561,Noti_RealTime_TC_02,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Người dùng ngắt kết nối khỏi NotificationHub,User đã đăng nhập. Kết nối SignalR thành công.,1,Người dùng ngắt kết nối khỏi NotificationHub,Test Data TBD,Expected Result TBD,,,,Medium
562,Noti_RealTime_TC_03,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Đơn hàng được tạo - gửi thông báo cho admin,User đã đăng nhập. Kết nối SignalR thành công.,1,Đơn hàng được tạo - gửi thông báo cho admin,Test Data TBD,Expected Result TBD,,,,Medium
563,Noti_RealTime_TC_04,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Đơn hàng được tạo - gửi thông báo cho khách,User đã đăng nhập. Kết nối SignalR thành công.,1,Đơn hàng được tạo - gửi thông báo cho khách,Test Data TBD,Expected Result TBD,,,,Medium
564,Noti_RealTime_TC_05,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Trạng thái đơn đổi → Đã nhận chưa giao,User đã đăng nhập. Kết nối SignalR thành công.,1,Trạng thái đơn đổi → Đã nhận chưa giao,Test Data TBD,Expected Result TBD,,,,Medium
565,Noti_RealTime_TC_06,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Trạng thái đơn đổi → Đang giao,User đã đăng nhập. Kết nối SignalR thành công.,1,Trạng thái đơn đổi → Đang giao,Test Data TBD,Expected Result TBD,,,,Medium
566,Noti_RealTime_TC_07,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Trạng thái đơn đổi → Đã giao,User đã đăng nhập. Kết nối SignalR thành công.,1,Trạng thái đơn đổi → Đã giao,Test Data TBD,Expected Result TBD,,,,Medium
567,Noti_RealTime_TC_08,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Giao shipper cho đơn hàng,User đã đăng nhập. Kết nối SignalR thành công.,1,Giao shipper cho đơn hàng,Test Data TBD,Expected Result TBD,,,,Medium
568,Noti_RealTime_TC_09,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Gửi tin nhắn chat đến phòng đơn hàng,User đã đăng nhập. Kết nối SignalR thành công.,1,Gửi tin nhắn chat đến phòng đơn hàng,Test Data TBD,Expected Result TBD,,,,Medium
569,Noti_RealTime_TC_10,Notification,Noti_TBRealTime,Thông báo khi tạo đơn hàng,Tin nhắn chat có ảnh đính kèm,User đã đăng nhập. Kết nối SignalR thành công.,1,Tin nhắn chat có ảnh đính kèm,Test Data TBD,Expected Result TBD,,,,Medium
570,Chat_TC_01,Chat,Chat,Chức năng Chat,Gửi tin nhắn thành công,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Gửi tin nhắn thành công,Test Data TBD,Expected Result TBD,,,,Medium
571,Chat_TC_02,Chat,Chat,Chức năng Chat,Nhận tin nhắn thành công,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Nhận tin nhắn thành công,Test Data TBD,Expected Result TBD,,,,Medium
572,Chat_TC_03,Chat,Chat,Chức năng Chat,Kiểm tra gửi tin đã đọc,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra gửi tin đã đọc,Test Data TBD,Expected Result TBD,,,,Medium
573,Chat_TC_04,Chat,Chat,Chức năng Chat,Kiểm tra chi tiết đọc tính (Timestamp),User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra chi tiết đọc tính (Timestamp),Test Data TBD,Expected Result TBD,,,,Medium
574,Chat_TC_05,Chat,Chat,Chức năng Chat,Kiểm tra lịch sử tin nhắn,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra lịch sử tin nhắn,Test Data TBD,Expected Result TBD,,,,Medium
575,Chat_TC_06,Chat,Chat,Chức năng Chat,Kiểm tra upload file,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra upload file,Test Data TBD,Expected Result TBD,,,,Medium
576,Chat_TC_07,Chat,Chat,Chức năng Chat,Kiểm tra upload hình ảnh,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra upload hình ảnh,Test Data TBD,Expected Result TBD,,,,Medium
577,Chat_TC_08,Chat,Chat,Chức năng Chat,Kiểm tra upload video,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra upload video,Test Data TBD,Expected Result TBD,,,,Medium
578,Chat_TC_09,Chat,Chat,Chức năng Chat,Kiểm tra emoji,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra emoji,Test Data TBD,Expected Result TBD,,,,Medium
579,Chat_TC_10,Chat,Chat,Chức năng Chat,Kiểm tra mention,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra mention,Test Data TBD,Expected Result TBD,,,,Medium
580,Chat_TC_11,Chat,Chat,Chức năng Chat,Kiểm tra URL preview,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra URL preview,Test Data TBD,Expected Result TBD,,,,Medium
581,Chat_TC_12,Chat,Chat,Chức năng Chat,Kiểm tra italic/bold formatting,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra italic/bold formatting,Test Data TBD,Expected Result TBD,,,,Medium
582,Chat_TC_13,Chat,Chat,Chức năng Chat,Kiểm tra search tin nhắn,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra search tin nhắn,Test Data TBD,Expected Result TBD,,,,Medium
583,Chat_TC_14,Chat,Chat,Chức năng Chat,Kiểm tra filter theo ngường hội thoại,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra filter theo ngường hội thoại,Test Data TBD,Expected Result TBD,,,,Medium
584,Chat_TC_15,Chat,Chat,Chức năng Chat,Kiểm tra đơn ghi thời gian,User đã đăng nhập. Có ít nhất 2 user đang online.,1,Kiểm tra đơn ghi thời gian,Test Data TBD,Expected Result TBD,,,,Medium
